Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
25.11.2003 10:20:00,  984.18,    6.56,   91.40,    0.00,    0.00
25.11.2003 10:30:00,  984.18,    6.74,   92.00,    0.00,    0.00
25.11.2003 10:40:00,  984.17,    7.17,   89.90,    0.00,    0.00
25.11.2003 10:50:00,  984.18,    7.42,   88.40,    0.00,    0.00
25.11.2003 11:00:00,  984.17,    8.04,   86.20,    0.00,    0.00
25.11.2003 11:10:00,  984.11,    8.27,   85.20,    0.00,    0.00
25.11.2003 11:20:00,  984.06,    8.70,   83.10,    0.00,    0.00
25.11.2003 11:30:00,  984.11,    8.79,   82.50,    0.00,    0.00
25.11.2003 11:40:00,  984.07,    9.04,   81.30,    0.00,    0.00
25.11.2003 11:50:00,  984.07,    9.23,   80.50,    0.00,    0.00
25.11.2003 12:00:00,  983.92,    9.46,   79.60,    0.00,    0.00
25.11.2003 12:10:00,  983.85,    9.37,   80.80,    0.00,    0.00
25.11.2003 12:20:00,  983.82,    9.67,   80.20,    0.00,    0.00
25.11.2003 12:30:00,  983.81,   10.01,   78.80,    0.00,    0.00
25.11.2003 12:40:00,  983.81,   10.10,   78.60,    0.00,    0.00
25.11.2003 12:50:00,  983.74,   10.53,   77.80,    0.00,    0.00
25.11.2003 13:00:00,  983.68,   10.76,   76.80,    0.00,    0.00
25.11.2003 13:10:00,  983.68,   10.91,   76.60,    0.00,    0.00
25.11.2003 13:20:00,  983.60,   11.04,   76.20,    0.00,    0.00
25.11.2003 13:30:00,  983.56,   11.26,   75.50,    0.00,    0.00
25.11.2003 13:40:00,  983.46,   11.41,   75.10,    0.00,    0.00
25.11.2003 13:50:00,  983.43,   11.59,   74.00,    0.00,    0.00
25.11.2003 14:00:00,  983.41,   11.54,   74.20,    0.00,    0.00
25.11.2003 14:10:00,  983.41,   11.45,   74.70,    0.00,    0.00
25.11.2003 14:20:00,  983.50,   11.54,   74.60,    0.00,    0.00
25.11.2003 14:30:00,  983.53,   11.61,   74.50,    0.00,    0.00
25.11.2003 14:40:00,  983.62,   11.59,   74.90,    0.00,    0.00
25.11.2003 14:50:00,  983.69,   11.63,   74.80,    0.00,    0.00
25.11.2003 15:00:00,  983.74,   11.65,   74.80,    0.00,    0.00
25.11.2003 15:10:00,  983.74,   11.71,   74.60,    0.00,    0.00
25.11.2003 15:20:00,  983.73,   11.71,   74.60,    0.00,    0.00
25.11.2003 15:30:00,  983.64,   11.71,   74.60,    0.00,    0.00
25.11.2003 15:40:00,  983.61,   11.70,   74.80,    0.00,    0.00
25.11.2003 15:50:00,  983.61,   11.64,   75.20,    0.00,    0.00
25.11.2003 16:00:00,  983.59,   11.71,   75.00,    0.00,    0.00
25.11.2003 16:10:00,  983.61,   11.77,   74.90,    0.00,    0.00
25.11.2003 16:20:00,  983.65,   11.78,   75.00,    0.00,    0.00
25.11.2003 16:30:00,  983.76,   11.68,   75.90,    0.00,    0.00
25.11.2003 16:40:00,  983.78,   11.65,   76.30,    0.00,    0.00
25.11.2003 16:50:00,  983.80,   11.58,   76.80,    0.00,    0.00
25.11.2003 17:00:00,  983.88,   11.37,   78.60,    0.00,    0.00
25.11.2003 17:10:00,  983.92,   11.17,   79.90,    0.00,    0.00
25.11.2003 17:20:00,  983.97,   11.08,   80.80,    0.00,    0.00
25.11.2003 17:30:00,  984.02,   10.99,   81.30,    0.00,    0.00
25.11.2003 17:40:00,  984.03,   10.98,   81.20,    0.00,    0.00
25.11.2003 17:50:00,  983.95,   10.93,   81.50,    0.00,    0.00
25.11.2003 18:00:00,  983.93,   10.84,   82.20,    0.00,    0.00
25.11.2003 18:10:00,  983.94,   10.77,   82.50,    0.00,    0.00
25.11.2003 18:20:00,  984.05,   10.99,   81.20,    0.00,    0.00
25.11.2003 18:30:00,  984.05,   11.21,   80.10,    0.00,    0.00
25.11.2003 18:40:00,  984.07,   11.15,   80.40,    0.00,    0.00
25.11.2003 18:50:00,  984.08,   11.00,   81.40,    0.00,    0.00
25.11.2003 19:00:00,  984.05,   10.86,   82.30,    0.00,    0.00
25.11.2003 19:10:00,  984.15,   10.74,   82.90,    0.00,    0.00
25.11.2003 19:20:00,  984.14,   10.71,   83.10,    0.00,    0.00
25.11.2003 19:30:00,  984.16,   10.54,   84.10,    0.00,    0.00
25.11.2003 19:40:00,  984.21,   10.23,   85.80,    0.00,    0.00
25.11.2003 19:50:00,  984.29,   10.05,   87.20,    0.00,    0.00
25.11.2003 20:00:00,  984.36,   10.05,   87.30,    0.00,    0.00
25.11.2003 20:10:00,  984.42,   10.11,   86.90,    0.00,    0.00
25.11.2003 20:20:00,  984.47,   10.11,   87.00,    0.00,    0.00
25.11.2003 20:30:00,  984.55,    9.72,   89.50,    0.00,    0.00
25.11.2003 20:40:00,  984.64,    9.49,   90.70,    0.00,    0.00
25.11.2003 20:50:00,  984.61,    9.48,   90.70,    0.00,    0.00
25.11.2003 21:00:00,  984.48,    9.80,   87.10,    0.00,    0.00
25.11.2003 21:10:00,  984.43,    9.85,   86.60,    0.00,    0.00
25.11.2003 21:20:00,  984.36,    9.59,   88.40,    0.00,    0.00
25.11.2003 21:30:00,  984.38,    9.70,   87.10,    0.00,    0.00
25.11.2003 21:40:00,  984.37,    9.71,   86.70,    0.00,    0.00
25.11.2003 21:50:00,  984.30,    9.76,   85.80,    0.00,    0.00
25.11.2003 22:00:00,  984.19,    9.80,   85.30,    0.00,    0.00
25.11.2003 22:10:00,  984.18,    9.66,   86.80,    0.00,    0.00
25.11.2003 22:20:00,  984.21,    9.37,   88.40,    0.00,    0.00
25.11.2003 22:30:00,  984.23,    9.11,   90.70,    0.00,    0.00
25.11.2003 22:40:00,  984.19,    8.98,   92.00,    0.00,    0.00
25.11.2003 22:50:00,  984.11,    8.91,   92.40,    0.00,    0.00
25.11.2003 23:00:00,  984.05,    8.75,   93.20,    0.00,    0.00
25.11.2003 23:10:00,  984.05,    8.55,   94.40,    0.00,    0.00
25.11.2003 23:20:00,  984.06,    8.51,   94.90,    0.00,    0.00
25.11.2003 23:30:00,  984.06,    8.51,   94.60,    0.00,    0.00
25.11.2003 23:40:00,  984.06,    8.47,   94.40,    0.00,    0.00
25.11.2003 23:50:00,  984.01,    8.42,   94.40,    0.00,    0.00
26.11.2003 00:00:00,  983.94,    8.23,   94.80,    0.00,    0.00
26.11.2003 00:10:00,  983.94,    8.13,   95.20,    0.00,    0.00
26.11.2003 00:20:00,  983.86,    8.13,   95.30,    0.00,    0.00
26.11.2003 00:30:00,  983.80,    8.22,   94.60,    0.00,    0.00
26.11.2003 00:40:00,  983.85,    8.22,   93.90,    0.00,    0.00
26.11.2003 00:50:00,  984.04,    8.46,   93.70,    0.00,    0.00
26.11.2003 01:00:00,  983.99,    8.32,   93.90,    0.00,    0.00
